mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each
preview,chaos_top3_per_day,C,429,12.0,51,0.11888111888111888,11,0.02564102564102564,0.09482758620689655,26,0.06060606060606061,0.12149532710280374,7409.019607843137,5150,38580,0.733993783993784
preview,chaos_top3_per_day,D,429,9.0,47,0.10955710955710955,12,0.027972027972027972,0.10344827586206896,22,0.05128205128205128,0.102803738317757,7930.63829787234,4650,38580,0.9653975653975654
preview,chaos_top5_per_day,A,715,24.0,172,0.24055944055944056,31,0.043356643356643354,0.1901840490797546,71,0.0993006993006993,0.21515151515151515,6675.058139534884,4120.0,49180,0.6690617715617716
preview,chaos_top5_per_day,B,715,18.0,101,0.14125874125874127,20,0.027972027972027972,0.12269938650306748,46,0.06433566433566433,0.1393939393939394,7353.663366336634,4370,49180,0.5770940170940171
preview,chaos_top5_per_day,C,715,12.0,76,0.1062937062937063,16,0.022377622377622378,0.09815950920245399,35,0.04895104895104895,0.10606060606060606,7512.894736842105,4720.0,49180,0.6654778554778554
preview,chaos_top5_per_day,D,715,9.0,82,0.11468531468531469,15,0.02097902097902098,0.09202453987730061,32,0.044755244755244755,0.09696969696969697,6407.4390243902435,4030.0,38580,0.8164879564879565
preview,chaos_top10_per_day,A,1430,24.0,332,0.23216783216783216,55,0.038461538461538464,0.18151815181518152,126,0.08811188811188811,0.2035541195476575,6423.94578313253,3630.0,62300,0.6214306526806527
preview,chaos_top10_per_day,B,1430,18.0,209,0.14615384615384616,41,0.028671328671328673,0.1353135313531353,90,0.06293706293706294,0.14539579967689822,7388.660287081339,4130,62300,0.599933954933955
preview,chaos_top10_per_day,C,1430,12.0,157,0.10979020979020979,28,0.019580419580419582,0.0924092409240924,63,0.044055944055944055,0.10177705977382875,6793.12101910828,3730,62300,0.6215151515151515
preview,chaos_top10_per_day,D,1430,9.0,160,0.11188811188811189,22,0.015384615384615385,0.07260726072607261,54,0.03776223776223776,0.08723747980613894,5426.0625,3230.0,38580,0.6745687645687646
preview,existing_top10_per_day,A,450,24.0,101,0.22444444444444445,20,0.044444444444444446,0.15748031496062992,50,0.1111111111111111,0.211864406779661,6998.910891089109,4790,37890,0.6545277777777778
preview,existing_top10_per_day,B,450,18.0,70,0.15555555555555556,16,0.035555555555555556,0.12598425196850394,37,0.08222222222222222,0.15677966101694915,7818.285714285715,5595.0,37890,0.6756543209876543
preview,existing_top10_per_day,C,450,12.0,50,0.1111111111111111,12,0.02666666666666667,0.09448818897637795,24,0.05333333333333334,0.1016949152542373,8036.6,4520.0,37890,0.7441296296296296
preview,existing_top10_per_day,D,450,9.0,38,0.08444444444444445,7,0.015555555555555555,0.05511811023622047,14,0.03111111111111111,0.059322033898305086,6446.0526315789475,3415.0,32310,0.6048148148148148
