mode,scope,formation,n,avg_points,hit_count,hit_rate,manshu_hit_count,manshu_hit_rate,manshu_capture_rate,target_arare_hit_count,target_arare_hit_rate,target_arare_capture_rate,avg_hit_payout_yen,median_hit_payout_yen,max_hit_payout_yen,reference_return_rate_100yen_each,period
morning,skip_excluded,D,3915,9.0,481,0.12286079182630907,59,0.015070242656449554,0.09049079754601227,135,0.034482758620689655,0.11120263591433278,5766.465696465696,2710,222920,0.7871917127855825,valid_after_2026-05-04
morning,chaos_top5_per_day,A,215,24.0,47,0.2186046511627907,10,0.046511627906976744,0.2127659574468085,25,0.11627906976744186,0.2631578947368421,8274.04255319149,5150,44890,0.7536434108527131,valid_after_2026-05-04
morning,chaos_top5_per_day,B,215,18.0,32,0.14883720930232558,9,0.04186046511627907,0.19148936170212766,20,0.09302325581395349,0.21052631578947367,10255.0,6425.0,44890,0.8479586563307494,valid_after_2026-05-04
morning,chaos_top5_per_day,C,215,12.0,24,0.11162790697674418,7,0.03255813953488372,0.14893617021276595,15,0.06976744186046512,0.15789473684210525,11476.666666666666,6530.0,44890,1.0675968992248062,valid_after_2026-05-04
morning,chaos_top5_per_day,D,215,9.0,16,0.07441860465116279,3,0.013953488372093023,0.06382978723404255,7,0.03255813953488372,0.07368421052631578,6320.625,4480.0,21270,0.5226356589147286,valid_after_2026-05-04
morning,chaos_top10_per_day,A,430,24.0,100,0.23255813953488372,22,0.05116279069767442,0.2391304347826087,44,0.10232558139534884,0.25,9184.3,4150.0,179250,0.8899515503875969,valid_after_2026-05-04
morning,chaos_top10_per_day,B,430,18.0,66,0.15348837209302327,19,0.044186046511627906,0.20652173913043478,34,0.07906976744186046,0.19318181818181818,11572.575757575758,5225.0,179250,0.9868087855297157,valid_after_2026-05-04
morning,chaos_top10_per_day,C,430,12.0,49,0.11395348837209303,12,0.027906976744186046,0.13043478260869565,23,0.053488372093023255,0.13068181818181818,11808.775510204081,4720,179250,1.121375968992248,valid_after_2026-05-04
morning,chaos_top10_per_day,D,430,9.0,38,0.08837209302325581,6,0.013953488372093023,0.06521739130434782,13,0.030232558139534883,0.07386363636363637,5814.736842105263,3320.0,23230,0.5709560723514212,valid_after_2026-05-04
preview,all,A,14761,24.0,4787,0.324300521644875,555,0.03759907865320778,0.22933884297520662,1247,0.08447937131630648,0.2815533980582524,4943.018592020055,2210,237130,0.6679264616218413,train_to_2026-05-04
preview,all,B,14761,18.0,3251,0.22024253099383512,418,0.02831786464331685,0.17272727272727273,902,0.061106971072420566,0.2036577105441409,5394.721624115657,2320,237130,0.6600817469457806,train_to_2026-05-04
preview,all,C,14761,12.0,2572,0.1742429374703611,277,0.01876566628277217,0.11446280991735537,619,0.041934828263667775,0.1397606683224204,4825.272161741836,2050.0,237130,0.7006413296298806,train_to_2026-05-04
preview,all,D,14761,9.0,2130,0.14429916672312174,208,0.014091186233994987,0.0859504132231405,518,0.03509247340966059,0.1169564235719124,4554.0610328638495,2170.0,237130,0.7301635691649918,train_to_2026-05-04
preview,skip_excluded,A,10013,24.0,3350,0.33456506541496056,374,0.03735144312393888,0.22958870472682627,865,0.08638769599520624,0.2901710835290171,4724.6179104477615,2180.0,142250,0.6586217084456872,train_to_2026-05-04
preview,skip_excluded,B,10013,18.0,2274,0.22710476380705083,281,0.02806351742734445,0.17249846531614488,624,0.06231898531908519,0.20932572962093257,5113.544415127529,2285.0,142250,0.6451723870080007,train_to_2026-05-04
preview,skip_excluded,C,10013,12.0,1785,0.17826825127334464,182,0.018176370718066513,0.11172498465316145,423,0.042245081394187554,0.14189869171418987,4495.014005602241,2010,142250,0.6677652385232531,train_to_2026-05-04
preview,skip_excluded,D,10013,9.0,1504,0.1502047338460002,146,0.014581044641965446,0.08962553713934929,369,0.036852092280035956,0.1237839651123784,4392.340425531915,2135.0,107140,0.7330559161978317,train_to_2026-05-04
preview,chaos_top5_per_day,A,500,24.0,122,0.244,23,0.046,0.19827586206896552,51,0.102,0.2170212765957447,6638.2786885245905,4125.0,49180,0.6748916666666667,train_to_2026-05-04
preview,chaos_top5_per_day,B,500,18.0,74,0.148,16,0.032,0.13793103448275862,35,0.07,0.14893617021276595,7731.351351351352,4720.0,49180,0.6356888888888889,train_to_2026-05-04
preview,chaos_top5_per_day,C,500,12.0,55,0.11,13,0.026,0.11206896551724138,27,0.054,0.1148936170212766,7871.090909090909,4810,49180,0.7215166666666667,train_to_2026-05-04
preview,chaos_top5_per_day,D,500,9.0,60,0.12,11,0.022,0.09482758620689655,23,0.046,0.09787234042553192,6291.166666666667,4100.0,38410,0.8388222222222222,train_to_2026-05-04
preview,chaos_top10_per_day,A,1000,24.0,233,0.233,37,0.037,0.17535545023696683,90,0.09,0.20316027088036118,6339.570815450644,3790,62300,0.6154666666666667,train_to_2026-05-04
